;;;;;;;;;;;;31,02;
;;Verde?Tech - будущее с заботой.  Производство комплексных пищевых добавок, специй и пряностей.;;;;;;;;https://verdetech.ru/;;;
;Ваш менеджер:;;Фамилия Имя;;тел:;Почта:;;;;прайс действителен до 01.05.2026;;;
;    г. Санкт-Петербург;;"ООО "" ВЕРДЭ"" | ОГРН 1127847172837  | ИНН 7802784592";;;;;;; +7 (812) 607-64-28;;;
;Доставка не входит в стоимость и рассчитывается отдельно. Бесплатная доставка по СПБ от 35 000 рублей, по ЛО от 45 000 рублей (в том числе до терминала ТК по СПб). Минимальный заказ = тарному месту. Минимальная фасовка указана в поле фасовка. Срок изготовления и поставки зависит от категории товаров и принимаются не ранее, чем за 3 рабочих дня до предполагаемой даты отгрузки, без учета времени на доставку. ;;;;;;;Заказы принимаются на почту: zakaz@verdetech.ru;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;тарное место;;меньше тарного места;
;Категория;Подкатегория;Наименование;Описание;Состав;Дозировки, свойства;Область применения;Фасовка;Тарное место;Цена (без НДС);Цена (с НДС) 22%;Цена (без НДС);Цена (с НДС) 22%
;Молотые/дроблёные;Молотые пряности-плоды и семена;Бадьян молотый;Тонко молотый бадьян с выраженным сладковато-анисовым ароматом;Бадьян;согласно рецептуры;специи применяются в пищевой промышленности для формирования вкуса, аромата и визуального профиля готовой продукции.;"Пак. В. 250*400 - 1 кг
Пак. В. 400*600 - 3 кг
Бум. М. 58*40*13 - 5 кг
Бум. Б. 92*50*13 - 15 кг";мешок/короб 20 / 25 кг; 796,72   ; 972,00 ; 547,41 ; 667,84 
;Молотые/дроблёные;Молотые пряности-плоды и семена;Бадьян дробленый;Дроблёный бадьян с насыщенным пряно-анисовым вкусом;Бадьян;согласно рецептуры;специи применяются в пищевой промышленности для формирования вкуса, аромата и визуального профиля готовой продукции.;"Пак. В. 250*400 - 1 кг
Пак. В. 400*600 - 3 кг
Бум. М. 58*40*13 - 5 кг
Бум. Б. 92*50*13 - 15 кг";мешок/короб 20 / 25 кг; 855,74   ; 1 044,00 ; 532,66 ; 649,85 
;Молотые/дроблёные;Молотые пряности-плоды и семена;Гвоздика дробленая;Дроблёная гвоздика с ярким пряным и слегка жгучим ароматом;Гвоздика;согласно рецептуры;специи применяются в пищевой промышленности для формирования вкуса, аромата и визуального профиля готовой продукции.;"Пак. В. 250*400 - 1 кг
Пак. В. 400*600 - 3 кг
Бум. М. 58*40*13 - 5 кг
Бум. Б. 92*50*13 - 15 кг";мешок/короб 20 / 25 кг; 156,56   ; 191,00 ; 577,74 ; 704,84 
